iter	RMSE
944	855.5813054
945	855.2882819
946	854.9595845
947	854.7242309
948	854.3616698
949	854.0902597
950	853.8668686
951	853.656946
952	853.3711917
953	853.1285114
954	852.8412039
955	852.5805494
956	852.3360704
957	852.1411331
958	852.0020755
959	851.7683435
960	851.5275064
961	851.123566
962	850.835482
963	850.3794973
964	850.0929975
965	849.8115457
966	849.4981605
967	849.2879745
968	849.0757678
969	848.7451724
970	848.5094344
971	848.2648328
972	847.8977643
973	847.5086858
974	847.2211887
975	846.9320082
976	846.7117822
977	846.4994732
978	846.30701
979	845.9894561
980	845.6580946
981	845.4003451
982	845.1338311
983	844.8879089
984	844.6143447
985	844.4129164
986	844.2541857
987	844.0203277
988	843.7622625
989	843.4065546
990	843.1336208
991	842.921178
992	842.5732471
993	842.3348255
994	842.031285
995	841.829966
996	841.5132739
997	841.2555684
998	840.9515047
999	840.6069788
1000	840.3857497
1001	840.1868493
1002	839.9235222
1003	839.5360594
1004	839.2500904
1005	838.9856969
1006	838.7674897
1007	838.3891877
1008	838.0447706
1009	837.7800371
1010	837.589371
1011	837.3352297
1012	837.1021021
1013	836.8197198
1014	836.5041528
1015	836.2877057
1016	835.9844977
1017	835.6951088
1018	835.455687
1019	835.0833087
1020	834.8828778
1021	834.6343346
1022	834.3937232
1023	834.0840043
1024	833.875234
1025	833.595416
1026	833.2979337
1027	833.0460878
1028	832.8034253
1029	832.6095867
1030	832.3234847
1031	831.9395922
1032	831.6734649
1033	831.4818342
1034	831.3923514
1035	831.2392534
1036	830.8305741
1037	830.6075981
1038	830.2911938
1039	830.0383501
1040	829.8282859
1041	829.6440875
1042	829.5025924
1043	829.0814014
1044	828.7382308
1045	828.4793335
1046	828.2317036
1047	827.9475823
1048	827.6985051
1049	827.3543596
1050	827.0856457
1051	826.8127525
1052	826.4845268
1053	826.2499843
1054	826.0316717
1055	825.8613716
1056	825.6205847
1057	825.4966782
1058	825.2215746
1059	824.89168
1060	824.6176062
1061	824.4628574
1062	824.2152992
1063	824.0241442
1064	823.7240171
1065	823.5538193
1066	823.1794357
1067	822.8116283
1068	822.483112
1069	822.1892924
1070	821.8904624
1071	821.6028337
1072	821.4658918
1073	821.1531579
1074	820.8840714
1075	820.615919
1076	820.4796177
1077	820.1531771
1078	819.7778087
1079	819.4394864
1080	819.1571589
1081	818.9479416
1082	818.7063319
1083	818.4475848
1084	818.2504965
1085	818.029876
1086	817.788961
1087	817.5637466
1088	817.3369613
1089	817.0348692
1090	816.7367639
1091	816.4861005
1092	816.2201148
1093	816.0640673
1094	815.9005771
1095	815.5972352
1096	815.280645
1097	814.9476782
1098	814.5692127
1099	814.2848095
1100	814.0828475
1101	813.9120317
1102	813.76525
1103	813.4976824
1104	813.2481727
1105	813.0652563
1106	812.7362128
1107	812.4905386
1108	812.1732084
1109	811.8416609
1110	811.4761898
1111	811.2308105
1112	810.9901999
1113	810.8408331
1114	810.5223053
1115	810.3547054
1116	810.0110629
1117	809.7597688
1118	809.5918304
1119	809.2792036
1120	808.9891387
1121	808.8275697
1122	808.5469805
1123	808.1592913
1124	807.9377027
1125	807.6889147
1126	807.4708316
